,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation,Unnamed: 0
22,BCSR OMP,O2,25493838.386329,25.493838,0.025494,1748756,0.069466,12.695913,12.765379,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,
23,BCSR OMP,O2,10684120.218466,10.68412,0.010684,1748756,0.164638,13.235881,13.400519,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,
24,BCSR OMP,O2,34481985.519142,34.481986,0.034482,1748756,0.051982,12.513638,12.56562,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,
25,BCSR OMP,O2,20680049.123661,20.680049,0.02068,1748756,0.085505,12.706008,12.791513,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,
26,BCSR OMP,O2,7912621.5614,7.912622,0.007913,1748756,0.221588,13.592999,13.814587,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,
27,BCSR OMP,O2,41962593.14105,41.962593,0.041963,1748756,0.042113,12.156952,12.199065,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,0.0
28,BCSR OMP,O2,26976315.957697,26.976316,0.026976,1748756,0.065851,12.551684,12.617535,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,1.0
29,BCSR OMP,O2,11523274.683368,11.523275,0.011523,1748756,0.152098,13.394811,13.546909,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,2.0
30,BCSR OMP,O2,25639812.312541,25.639812,0.02564,1748756,0.068895,12.408044,12.47694,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,3.0
31,BCSR OMP,O2,16570923.217937,16.570923,0.016571,1748756,0.105761,12.73469,12.840451,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,4.0
32,BCSR OMP,O2,6483962.95145,6.483963,0.006484,1748756,0.270023,13.647072,13.917095,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,5.0
33,BCSR OMP,O2,19954698.539652,19.954699,0.019955,1748756,0.087902,12.59794,12.685842,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,6.0
34,BCSR OMP,O2,11963182.934441,11.963183,0.011963,1748756,0.146465,12.797057,12.943522,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,7.0
35,BCSR OMP,O2,4395173.176284,4.395173,0.004395,1748756,0.397917,13.716334,14.114251,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,8.0
36,BCSR OMP,O2,55129780.634118,55.129781,0.05513,1748756,0.032613,12.521446,12.554059,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,9.0
37,BCSR OMP,O2,34127381.343646,34.127381,0.034127,1748756,0.05197,12.691421,12.743391,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,10.0
38,BCSR OMP,O2,14735328.154311,14.735328,0.014735,1748756,0.119034,13.613584,13.732618,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,11.0
39,BCSR OMP,O2,35011790.310534,35.01179,0.035012,1748756,0.050556,12.533992,12.584548,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,12.0
40,BCSR OMP,O2,21122003.347589,21.122003,0.021122,1748756,0.083362,12.672274,12.755636,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,13.0
41,BCSR OMP,O2,8718948.393881,8.718948,0.008719,1748756,0.200751,13.547384,13.748135,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,14.0
42,BCSR OMP,O2,27121892.06985,27.121892,0.027122,1748756,0.064901,12.375403,12.440304,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,15.0
43,BCSR OMP,O2,16062367.412076,16.062367,0.016062,1748756,0.109409,12.613244,12.722653,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,16.0
44,BCSR OMP,O2,6137557.039786,6.137557,0.006138,1748756,0.285307,13.562002,13.847309,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,17.0
45,BCSR OMP,O2,68776226.203394,68.776226,0.068776,1748756,0.026995,12.477362,12.504357,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,18.0
46,BCSR OMP,O2,39644488.075725,39.644488,0.039644,1748756,0.045307,12.689568,12.734875,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,19.0
47,BCSR OMP,O2,18403356.2477,18.403356,0.018403,1748756,0.09633,13.532608,13.628938,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,20.0
48,BCSR OMP,O2,41029469.956777,41.02947,0.041029,1748756,0.043832,12.506115,12.549948,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,21.0
49,BCSR OMP,O2,25493838.386329,25.493838,0.025494,1748756,0.069466,12.695913,12.765379,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,22.0
50,BCSR OMP,O2,10684120.218466,10.68412,0.010684,1748756,0.164638,13.235881,13.400519,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,23.0
51,BCSR OMP,O2,34481985.519142,34.481986,0.034482,1748756,0.051982,12.513638,12.56562,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,24.0
52,BCSR OMP,O2,20680049.123661,20.680049,0.02068,1748756,0.085505,12.706008,12.791513,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,25.0
53,BCSR OMP,O2,7912621.5614,7.912622,0.007913,1748756,0.221588,13.592999,13.814587,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,26.0
54,BCSR OMP,O2,189098956.42484,189.098956,0.189099,27980096,0.150164,12.353883,12.504047,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,27.0
55,BCSR OMP,O2,170204128.074125,170.204128,0.170204,27980096,0.164825,13.382604,13.547429,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,28.0
56,BCSR OMP,O2,579715621.650898,579.715622,0.579716,111920384,0.194358,12.36354,12.557898,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,29.0
57,BCSR OMP,O2,360892599.027689,360.892599,0.360893,111920384,0.310351,13.438265,13.748616,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,30.0
58,BCSR OMP,O2,902859829.051744,902.859829,0.90286,223840768,0.248727,12.369762,12.618489,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,31.0
59,BCSR OMP,O2,515585376.864638,515.585377,0.515585,223840768,0.434532,13.659497,14.094029,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,32.0
60,BCSR OMP,O2,163441588.136485,163.441588,0.163442,27980096,0.173142,12.37245,12.545592,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,33.0
61,BCSR OMP,O2,213991896.80816,213.991897,0.213992,27980096,0.13126,13.388909,13.52017,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,34.0
62,BCSR OMP,O2,530718377.410798,530.718377,0.530718,111920384,0.2133,12.342013,12.555313,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,35.0
63,BCSR OMP,O2,498545106.611483,498.545107,0.498545,111920384,0.226194,13.64927,13.875464,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,36.0
64,BCSR OMP,O2,905846022.190776,905.846022,0.905846,223840768,0.248989,12.395923,12.644912,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,37.0
65,BCSR OMP,O2,752312259.622529,752.31226,0.752312,223840768,0.299901,13.417315,13.717216,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,38.0
66,BCSR OMP,O2,108642262.211922,108.642262,0.108642,27980096,0.259225,12.376099,12.635324,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,39.0
67,BCSR OMP,O2,181254119.04235,181.254119,0.181254,27980096,0.159666,13.361173,13.520839,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,40.0
68,BCSR OMP,O2,389165073.008847,389.165073,0.389165,111920384,0.289078,12.385654,12.674732,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,41.0
69,BCSR OMP,O2,419112403.508226,419.112404,0.419112,111920384,0.272009,13.409801,13.68181,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,42.0
70,BCSR OMP,O2,729703574.263994,729.703574,0.729704,223840768,0.307541,12.34524,12.652781,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,43.0
71,BCSR OMP,O2,673629452.238628,673.629452,0.673629,223840768,0.336222,13.433794,13.770016,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,44.0
