,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation,Unnamed: 0.1,Unnamed: 0
16,BCSR OMP,O2,317945848.342742,317.945848,0.317946,111920384,0.405011,52.125288,52.530299,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,7.0,
17,BCSR OMP,O2,538294152.284587,538.294152,0.538294,223840768,0.503393,51.684959,52.188351,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,8.0,
18,BCSR OMP,O2,127325845.900169,127.325846,0.127326,27980096,0.225807,52.108496,52.334303,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,9.0,0.0
19,BCSR OMP,O2,481419219.933461,481.41922,0.481419,111920384,0.236532,52.237158,52.47369,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,10.0,1.0
20,BCSR OMP,O2,810083430.978374,810.083431,0.810083,223840768,0.289216,52.128472,52.417689,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,11.0,2.0
21,BCSR OMP,O2,112040489.996287,112.04049,0.11204,27980096,0.270289,52.262067,52.532356,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,12.0,3.0
22,BCSR OMP,O2,439624552.151978,439.624552,0.439625,111920384,0.275521,52.113047,52.388568,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,13.0,4.0
23,BCSR OMP,O2,755874805.732826,755.874806,0.755875,223840768,0.318676,52.264939,52.583615,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,14.0,5.0
24,BCSR OMP,O2,121552537.62341,121.552538,0.121553,27980096,0.299001,52.17701,52.476011,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,15.0,6.0
25,BCSR OMP,O2,317945848.342742,317.945848,0.317946,111920384,0.405011,52.125288,52.530299,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,16.0,7.0
26,BCSR OMP,O2,538294152.284587,538.294152,0.538294,223840768,0.503393,51.684959,52.188351,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,17.0,8.0
27,BCSR OMP,O2,100128067.318798,100.128067,0.100128,27980096,0.284954,51.849265,52.13422,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,18.0,9.0
28,BCSR OMP,O2,132837489.015341,132.837489,0.132837,27980096,0.214882,53.251766,53.466648,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,19.0,10.0
29,BCSR OMP,O2,486657293.647503,486.657294,0.486657,111920384,0.241286,51.720349,51.961635,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,20.0,11.0
30,BCSR OMP,O2,341471515.908653,341.471516,0.341472,111920384,0.329463,53.449023,53.778486,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,21.0,12.0
31,BCSR OMP,O2,844359882.965933,844.359883,0.84436,223840768,0.299992,51.815772,52.115764,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,22.0,13.0
32,BCSR OMP,O2,427891777.511431,427.891778,0.427892,223840768,0.537088,53.363521,53.900608,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,23.0,14.0
33,BCSR OMP,O2,104151751.968065,104.151752,0.104152,27980096,0.313488,51.541822,51.855309,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,24.0,15.0
34,BCSR OMP,O2,172151350.457735,172.15135,0.172151,27980096,0.185068,53.387773,53.572841,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,25.0,16.0
35,BCSR OMP,O2,366581321.989632,366.581322,0.366581,111920384,0.332423,51.91701,52.249433,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,26.0,17.0
36,BCSR OMP,O2,377488223.571512,377.488224,0.377488,111920384,0.305649,53.587235,53.892884,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,27.0,18.0
37,BCSR OMP,O2,696353147.304721,696.353147,0.696353,223840768,0.361063,51.536968,51.898031,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,28.0,19.0
38,BCSR OMP,O2,503336540.58438,503.336541,0.503337,223840768,0.505867,53.229326,53.735193,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,29.0,20.0
39,BCSR OMP,O2,67867305.232792,67.867305,0.067867,27980096,0.509927,51.872309,52.382236,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,30.0,21.0
40,BCSR OMP,O2,159904479.740756,159.90448,0.159904,27980096,0.235226,53.222533,53.457759,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,31.0,22.0
41,BCSR OMP,O2,318932700.611084,318.932701,0.318933,111920384,0.440786,52.372984,52.813771,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,32.0,23.0
42,BCSR OMP,O2,349313515.668005,349.313516,0.349314,111920384,0.352629,53.446447,53.799076,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,33.0,24.0
43,BCSR OMP,O2,386932460.653026,386.932461,0.386932,223840768,0.691682,51.923698,52.61538,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,34.0,25.0
44,BCSR OMP,O2,572048321.692739,572.048322,0.572048,223840768,0.427423,53.861817,54.28924,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,35.0,26.0
